product_name,url,indications,char_count,flag
ACER NEGUNDO,https://sblglobal.com/product/acer-negundo-1843,"Hemorrhoids and Fissures
Relieves painful piles and bleeding hemorrhoids.
Addresses fissures with accompanying soreness and itching.
Digestive Disorders
Aids in managing bowel movement associated with rectal discomfort.
Provides relief from tenesmus (painful straining during bowel movements.
Skin and Mucosal Conditions
Treats pruritus (itching) around the anal region.
Reduces inflammation of mucous membranes.
ACER NEGUNDO - DL
Acer negundo",443,
ACETANILIDUM,https://sblglobal.com/product/acetanilidum-1844,"•
Cyanosis
Aids in cases where there is bluish discoloration of the skin due to poor oxygen supply.
Commonly used when cyanosis is accompanied by cold extremities and weakness.
•
Fever & Febrile Conditions
Helps in managing high fever with spasm & weakness.
Beneficial for cases where fever is accompanied by excessive drowsiness or collapse-like states.
•
Headache & Neuralgia
Severe headaches, especially those associated with nervous emotions or eyestrain.
Helps in cases of optic neuralgia and atrophy of retinal vessels.
Sensation of head as if enlarged and occupied the entire room.
•
Circulatory Disorders
Helpful in conditions where there is poor blood circulation, leading to pallor or cyanosis.
Weakness with blue mucous membrane and edema due to circulatory inefficiencies.
ACETANILIDUM - DL
Acetanilidum",815,
ACHYRANTHES ASPERA,https://sblglobal.com/product/achyranthes-aspera-1845,"•
Diarrhoea and Dysentery
o Helps in acute watery diarrhoea, often yellowish and mixed with mucus.
o It is associated excessive thirst, stomach pain, nausea, and vomiting.
•
Menorrhagia
o Excessive menstrual bleeding, often linked to uterine weakness.
•
Diuretic Action
o Supports kidney function by promoting urine flow.
•
Effects of Snake and Dog Bites
o Useful in cases of venomous bites and their after-effects.
•
Skin Conditions
o Helps with boils, carbuncles, foul swelling, and poisonous ulcers.
o Red spots on the skin with a burning sensation all over the body.
•
Pulse Abnormalities
o Characterized by a weak, thready pulse.
ACHYRANTHES ASPERA - DL
Achyranthes aspera",677,
ACIDUM ACETYLSALICYLICUM,https://sblglobal.com/product/acidum-acetylsalicylicum-1847,"1. Fever & Pain
o
Aids in reducing high fever and associated body aches.
o
Helps relieve fever-related fatigue and discomfort.
2. Inflammation & Swelling
Useful in managing inflammation in joints and tissues.
Reduces pain and swelling in rheumatic conditions.
3. Arthritis Complaints
Helps manage pain, stiffness, and inflammation in
arthritis
.
Alleviates joint discomfort and promotes ease of movement.
4. Childbirth Pain
Traditionally used to
ease the pain associated with childbearing
.
Helpful in managing labor-related discomfort and muscular strain.
ACIDUM ACETYLSALICYLICUM - DL
Acidum acetylsalicylicum",611,
ACIDUM ASCORBICUM,https://sblglobal.com/product/acidum-ascorbicum-1848,"• Mental Fogginess & Forgetfulness
Acidum ascorbicum
is indicated for individuals suffering from clouded thoughts, difficulty concentrating, and lapses in memory. Often helpful in people who appear inattentive, forget appointments, and misplace items frequently.
• Periodic Absences & Dizziness
Useful in cases of sudden moments of blankness or disconnection, often accompanied by a sense of vertigo or unsteadiness.
• Irritability & Argumentative Disposition
Helpful in managing states of quick temper, over-sensitivity to criticism, and a tendency to argue or take offense easily.
• Dull Frontal Headaches
Aids in relieving  frontal headaches that are aggravated by light (photophobia) and accompanied by blurred vision. Particularly worse in the afternoon or after mental strain.
• Mental and Physical Prostration
For extreme fatigue that affects both mind and body, especially worse in the afternoon and during tasks that require focus. May feel as though ""thinking is too hard.""
• Early Cold Symptoms
Acidum ascorbicum
acts well in the prodromal stages of a cold, especially with postnasal drip, sore or constricted throat, and a hoarse or croaky voice. Conditions worsen with talking but improve with warm fluids.",1219,
Acidum Benzoicum,https://sblglobal.com/product/acidum-benzoicum-1849,"Uric Acid and Gouty Conditions
Acidum benzoicum is particularly effective for conditions related to excess uric acid, which can lead to gout.
The remedy is noted for its impact on metabolic disorders, with symptoms including highly colored, offensive urine and signs of gouty arthritis.
Renal Insufficiency
This remedy is useful for addressing issues with kidney function, including reduced efficiency or profuse urine production and overall metabolic disturbances.
It helps manage symptoms associated with impaired renal function and renal or bladder calculi.
Depression
Acidum benzoicum can help with mental health concerns such as depression and a tendency to focus on negative past experiences.
It also addresses issues with writing difficulties, such as omitting words.
Headache
This remedy is effective for managing headaches with a throbbing sensation, particularly in the temporal arteries.
It also helps with vertigo, falling sideways and associated scalp tightness.
Nasal inflammation
Acidum benzoicum is indicated for nasal symptoms including itching of the nasal septum and pain in the nasal bones.
It is useful for alleviating discomfort and inflammation in the nasal area- blisters, redness of cheeks.
Stomach and Abdominal discomfort
Useful for stomach issues like a sensation of heaviness and lump, and abdominal pain, including cutting pain around the navel and stitching in the liver area.
Rectal and Stool discomfort
Acidum benzoicum addresses rectal discomfort including stitches, constriction, and itching around the anus.
It also manages stool issues such as frothy, offensive, light-colored stools.
Offensive urine
This remedy helps with urinary symptoms like offensive urine with a repulsive odor and variable color.
It is also used for conditions such as enuresis, dribbling urine, and bladder catarrh from suppressed gonorrhea.
Cough and Hoarseness
Acidum benzoicum is effective for respiratory issues including hoarseness, especially in the morning, and asthmatic coughs that worsen at night or when lying on the right side.
It also helps with chest tenderness and expectoration of green mucus.
Joint pain and swelling
Useful for joint pain and swelling, including issues like ganglion cysts, bunions, and rheumatic gout.
It also helps with pain and swelling in tendons and joints.
Fever
Acidum benzoicum addresses fever symptoms such as coldness in extremities and general chilliness.",2412,
ACIDUM BORACICUM,https://sblglobal.com/product/acidum-boracicum-1850,"• Emotional Sadness
Useful in people who feel emotionally low and depressed. Often seen sighing or crying without reason, and may appear dull or indifferent to surroundings.
• Digestive Headache
Acidum boracicum helps with headaches linked to digestion. May also be used when there is dizziness and constant buzzing or noise in the ears.
•
Eye Swelling
Relieves severe swelling around the eyes that causes them to close. Helpful in conjunctivitis (eye inflammation) with strong sensitivity to light.
•
Dryness of Mouth & Throat
Indicated when there is an unusual amount of cold saliva. The tongue may feel dry, coated, and hard to move. Dryness and discomfort in the throat are also common.
•
Nausea & Vomiting
Useful in nausea and a heavy feeling in the stomach, which improves after walking in fresh air. Helps when vomiting includes thick, alkaline mucus or greenish material.
• Urinary Issues
Acidum boracicum supports conditions where there is pain near the ureters, with frequent and urgent need to urinate. Especially helpful when urine output increases significantly or contains albumen.
•
Female Health – Menopause
Helps relieve sudden hot flushes in menopausal women. Also indicated when the vaginal area feels cold, almost as if packed with ice.
• Skin Eruptions
Treats skin eruptions like
impetigo figurata
, especially when they begin on the right thigh and spread to the left. Also used for burning skin, red patches (erythema), and swelling of the skin.
•
General Weakness & Nerve Sensations
Indicated in collapse or extreme weakness, with coldness and below-normal body temperature. Helpful when there is tingling or crawling sensation (formication) starting in the hands and feet and later affecting the face.
ACIDUM BORACICUM - DL
Acid boracicum",1763,
ACIDUM BUTYRICUM,https://sblglobal.com/product/acidum-butyricum-1851,"•
Nervousness & Anxiety
Addresses constant fearfulness and nervous mental state.
Helps in managing anxiety about trivial matters, and impulsive suicidal thoughts.
•
Headache
Useful for dull, cloudy headaches that worsen with rapid movement or exertion.
Helps in easing apprehensive headache, especially when triggered by physical activity like climbing stairs.
•
Digestive Trouble
Manages poor appetite with
excessive gas formation.
Addresses stomach cramps, particularly around the pit of the stomach, worsening at night.
Useful in regulating irregular bowel movements accompanied by pain and straining.
•
Back Pain & Fatigue
Helpful in relieving dull, tired sensations in the lower back.
Beneficial for
pain extending to ankles and legs, especially up the back of the leg.
Supports those experiencing pain in the back and limbs.
•
Sleep Disturbance
Addresses pronounced insomnia and trouble falling asleep.
Helps manage
disturbing dreams with serious or heavy emotional themes.
•
Excessive Sweating & Skin Issues
Useful for managing perspiration that occurs with slight exertion.
Helps in reducing offensive sweat, particularly of the feet.
Supports nail health, especially where fingernails are tend to crumble.
ACIDUM BUTYRICUM - DL
Butyricum
acidum",1253,
ACIDUM CARBOLICUM,https://sblglobal.com/product/acidum-carbolicum-1852,"•
Mental & Nervous Complaints
Addresses mental sluggishness and disinclination to work or study.
Aids in managing stupor and nervous exhaustion.
Helpful for headaches that feel like a tight band, and orbital neuralgia.
•
Respiratory Conditions
Supports recovery from spasmodic coughs, especially in destructive states.
Useful in scarlet fever and diphtheria with fetid odor and tissue destruction.
Aids in managing difficulty in swallowing and offensive breath with throat infections.
•
Digestive Issues
Helps in managing fermentative dyspepsia, belching, nausea, and vomiting.
Useful for flatulent distension of the abdomen and a burning sensation in the esophagus.
Addresses desire for stimulants and loss of appetite due to gastric upset.
•
Bowel Complaints
Beneficial in putrid diarrhea, thin black stools, and bloody discharges resembling intestinal scrapings.
Aids in relieving constipation with extremely offensive breath and great straining.
•
Urinary Problems
Helps manage dark, almost black urine and irritation of the bladder, especially in elderly men.
Useful in diabetic individuals with urinary complications.
•
Female Reproductive Health
Addresses offensive vaginal discharges, painful ovary, and post-partum infections.
Supports in cases of leucorrhoea in children and erosions of the cervix.
Aids in relieving backache and dragging pelvic pain.
•
Joint & Muscular Complaints
Helpful in managing arthritis with gnawing bone pain and leg cramps during walking.
Supports joint mobility in destructive joint affections.
•
Skin Conditions
Useful for itching vesicles, ulcers, and burns that tend to ulcerate.
Addresses skin affections accompanied by foul-smelling discharges.
ACIDUM CARBOLICUM - DL
Carbolic acid",1724,
ACIDUM CHROMICUM,https://sblglobal.com/product/acidum-chromicum-1853,"•
Throat & Nasal Complaints
Helps in managing diphtheria and sore throat with tough mucus and hawking.
Addresses post-nasal tumors and ozæna with ulceration and scabs in the nose.
Useful for corrosive nasal pain and offensive nasal smell.
•
Offensive Discharges
Aids in relieving bloody, foul-smelling vaginal discharge after childbirth.
Beneficial for conditions with symptoms that come and go suddenly and return periodically.
•
Digestive & Rectal Issues
Supports relief from watery, frequent stools accompanied by nausea and vertigo.
Helps in managing internal bleeding hemorrhoids and weakness in the lower back.
•
Limb & Joint Discomfort
Useful for uneasiness in limbs and pain in shoulder blades, neck, knees, and balls of the feet.
Addresses drawing pain in soles during walking.
ACIDUM CHROMICUM - DL
Chromic Acid",821,
ACIDUM CHRYSOPHANICUM,https://sblglobal.com/product/acidum-chrysophanicum-1854,"•
Skin Conditions
Aids in managing psoriasis and ringworm, both internally and through topical application.
Helps in reducing thick, scabby eruptions with oozing discharge.
Beneficial for skin affections with a tendency to form crusts and foul discharges.
•
Eye Disorders
Useful for blepharitis, conjunctivitis, and keratitis—especially of the phlyctenular type.
Addresses intense photophobia, conjunctival inflammation, and visual hypersensitivity.
Supports recovery in cases with retinal asthenopia or optical hyperesthesia.
•
Ear Conditions
Helps in treating suppurative otitis media with thick scabbing and pus formation.
Aids in healing eczema and scabby conditions behind the ears and on surrounding facial skin.
ACIDUM CHRYSOPHANICUM - DL
Chrysophanic Acid",763,
ACIDUM CITRICUM,https://sblglobal.com/product/acidum-citricum-1855,"•
Mental and Emotional State
Addresses aversion to family and household responsibilities.
Helpful in indolence, and emotional withdrawal.
Frightened easily, especially in familiar surroundings.
•
General Conditions
Aids in managing anaemia and malnutrition.
Supports recovery in cancerous affections and chronic joint inflammation.
Helps control bleeding tendencies and general weakness.
•
Head and Face
Redness of the face during epileptic attacks.
•
Mouth and Gums
Useful for cancer of the tongue.
Helps in treating scorbutic (bleeding and spongy) gums.
•
Digestive System
Relieves diarrhea triggered by consuming lemonade.
•
Reproductive Health
Helps control excessive menstrual bleeding.
ACIDUM CITRICUM - DL
Citric acid",724,
ACIDUM GALLICUM,https://sblglobal.com/product/acidum-gallicum-1857,"•
Phthisis
Acidum gallicum is supportive in checking morbid secretions, particularly beneficial in cases of tuberculosis.
•
Hemorrhages
It helps in managing passive hemorrhages, especially when the pulse is feeble, capillaries are relaxed, and the skin is cold.
Acidum gallicum is beneficial for conditions like blood in the urine (hæmaturia) and poor blood clotting (hæmophilia).
•
Itching of Skin
This medicine is helpful for relieving general skin itching and irritation, especially in urticaria.
•
Pyrosis (Heartburn)
It provides relief for burning sensations in the stomach caused by digestive issues like heartburn.
•
Mental Confusion & Restlessness
Wild delirium at night, with excessive restlessness. The patient may jump out of bed, sweat profusely, and feel afraid to be alone.
Rude and abusive towards others.
•
Headache
Pain in the back of the head and neck. There is also a thick, stringy discharge from the nose and photophobia (sensitivity to light), with a burning sensation in the eyelids.
•
Respiratory Issues
Pain in the lungs and pulmonary hemorrhage.
Excessive expectoration and mucus in the throat in the morning, along with a dry cough at night.
•
Renal Colic
Pain in the kidneys with distress extending along the ureters to the bladder. The patient may experience dull, heavy pain in the bladder, especially over the pubis.
Urine thick with cream-colored mucus.
•
Rectal Issues
Copious stools, with a constricted feeling in the anus. The patient may feel faint after stool, with chronic mucous discharges.
ACIDUM GALLICUM - DL
Gallic acid",1562,
ACIDUM HIPPURICUM,https://sblglobal.com/product/acidum-hippuricum-1858,"•
Eye and Naso-Pharyngeal Symptoms
Acidum hippuricum is beneficial in conditions affecting the eyes and naso-pharynx, with a particular focus on inflammation and soreness in the right eye. It is helpful in treating swollen and inflamed eyelids and muscular soreness around the eye and throat areas.
•
Throat Conditions
It relieves a sore, raw, dry throat with difficulty swallowing. A foul odor and gummy exudate can be alleviated. Acidum hippuricum helps reduce the thickness and infiltration of tissues around the throat.
•
Stomach & Liver Disturbances
It addresses issues like acid rising in the stomach, with a lump feeling in the pit of the stomach. It also provides relief for soreness and pressure over the liver, particularly on the right side.
•
Female Reproductive Health
It is beneficial for extended menstrual flow, lasting up to three weeks, which provides complete relief from muscular and joint pains during menstruation.
•
Muscular and Joint Pain
Acidum hippuricum treats for backaches radiating to the hips, pain in the shoulders and extremities, and sore, swollen joints. It also addresses shooting pain in the posterior thigh and down the right leg, as well as a tired, grating sensation in the joints.
•
Skin Conditions
It helps alleviate itching and burning sensations on the skin, especially with the appearance of papules resembling goose flesh, particularly on the chest.
ACIDUM HIPPURICUM - DL
Hippuric acid",1432,
ACIDUM HYDROCYANICUM,https://sblglobal.com/product/acidum-hydrocyanicum-1859,"•
Unconsciousness & Delirium
Unconsciousness with extreme states of wild delirium, often fearful of imaginary troubles, such as horses, wagons, and collapsing buildings.
Sudden spasmodic convulsions, often leading to paralysis. This includes hysterical and epileptic seizures, as well as cataleptic states.
•
Headache & Facial Spasm
Intense, stupefying headaches that feel like the brain is on fire, often accompanied by a flushed face and dilated pupils.
Rigid clenching of the jaws, frothing at the mouth, and pale, bluish lips.
•
Cough and Respiratory Collapse
A dry, spasmodic, suffocating cough, often accompanied by noisy and agitated breathing. Asthma-like symptoms and contraction of the throat are common.
Marked cyanosis (bluish discoloration) and venous congestion of the lungs, often leading to marked difficulty breathing, as well as paralysis of the lungs.
Hydrocyanic acid can be indicated in severe cases of whooping cough or pulmonary collapse, where the lung function is severely impaired.
•
Irregular Pulse & Violent Palpitations
A weak and irregular pulse, often accompanied by violent palpitation and torturing chest pain. These symptoms may resemble conditions like angina pectoris.
The extremities may feel cold to the touch, often associated with the collapse of the circulatory system.
•
Gastralgia
A great sinking sensation in the pit of the stomach, worsened when the stomach is empty.
A pulsating pain in the precordial region (around the heart), with the sensation that drinks rumble through the throat and stomach.
•
Drowsiness
Irresistible drowsiness, along with vivid, incoherent dreams. There may also be excessive yawning accompanied by shivering.
ACIDUM HYDROCYANICUM - DL
Hydrocyanic acid",1724,
ACIDUM HYDROFLUORICUM,https://sblglobal.com/product/acidum-hydrofluoricum-1860,"•
Chronic Diseases & Ulcerations
Especially indicated for chronic conditions with a history of syphilis or mercury exposure, particularly in older individuals or those showing prematurely aged symptoms.
Particularly helpful in conditions involving weak, distended blood vessels, such as varicose veins, and the ""hob-nailed liver"" seen in alcoholics.
•
Teeth & Bone Issues
Fluoricum acidum is beneficial in addressing the early decay of teeth, often linked with aging or degenerative processes.
Particularly useful in addressing caries of bones, including caries of the mastoid, ossicles, and upper jaw bones.
•
Skin Ulcers
& Alopecia
For cases of alopecia (hair loss) and skin caries, with a sensation of pressure on the sides of the head from within outward.
Helps with bone growths like exostosis, and it is beneficial for treating syphilitic ulcers or red-edged ulcers, particularly in cases with a tendency for skin to feel warm.
•
Indigestion
There is a sensation of heaviness and weight in the stomach, particularly before meals, often relieved by tight clothing.
Sour belching and aversion to coffee are common, alongside a craving for fancy or highly seasoned foods and cold water.
Diarrhea is often triggered by warm drinks, but tight clothing around the abdomen offers some relief.
•
Urinary and Sexual Symptoms
The urine may be scanty and dark, though in cases of dropsy (fluid retention), there is often a marked increase in the frequency and amount of urine passed.
Increased sexual passion and nocturnal erections, with swelling of the scrotum.
•
Dyspnea
Fluoricum acidum is useful for respiratory symptoms, including chest oppression and great difficulty in breathing (dyspnea). It is also helpful in cases of hydrothorax (fluid accumulation in the chest).
•
Inflammation of Joints
Inflammation of the joints, especially in the fingers, and a sensation as if a splinter is lodged under the nail. The nails may become brittle or crumble, and long bones may suffer from caries or necrosis.
Pain in the coccyx (tailbone) and ulcers over the tibia are often present in individuals who could benefit from this medicine.
•
Varicose Ulcers & Fluid Retention
Fluoricum acidum is useful for varicose veins, nævi (moles), and ulcers with red edges. It also helps in treating syphilitic rupia and ulcerations, particularly those that worsen with warmth.
Intense itching, especially in the orifices and in spots, worsened by warmth. The skin may feel as if burning vapor is emitted from the pores.
Helps reduce dropsy of the limbs in old or feeble individuals and assists in improving circulation and toning of the capillary and venous system.
ACIDUM HYDROFLUORICUM - DL
Hydrofluoric acid",2691,
ACIDUM LACTICUM,https://sblglobal.com/product/acidum-lacticum-1861,"1. Nausea and Vomiting
Commonly used for nausea, especially in pale, anemic women.
Includes hot, acrid belching, better after eating, and burning gas from the stomach to the throat causing profuse secretion of tenacious mucus.
Relieves excessive salivation, water-brash, and dry, parched tongue with a tendency toward copious salivation.
2. Burning Sensations
Characterized by intense thirst and voracious hunger.
Hot gas rising from the stomach to the throat, with an exacerbation from smoking.
3. Fullness or Lump Sensation
Feels like a puffball or obstruction, with constant swallowing efforts.
A sensation of tightness or constriction low in the throat.
4. Breast Pain
Particularly with the enlargement of axillary glands, the pain radiates to the hand.
5. Rheumatic Pain
Affects joints and shoulders, wrists, and knees, often associated with much weakness.
Trembling of the whole body while walking.
The extremities often feel cold.
6. Urinary Issues
Frequent urination, with large quantities passed.
Urine is often sweet, indicative of sugar-like presence.
ACIDUM LACTICUM - DL
Lactic acid",1095,
ACIDUM NITROMURIATICUM,https://sblglobal.com/product/acidum-nitromuriaticum-1864,"•
Oxaluria & Skin Disorders
Acts as a useful medicine for oxaluria (excessive oxalate in urine), helping to relieve associated discomfort.
Relieves skin conditions resembling psoriasis, providing relief from distressing skin symptoms.
•
Liver Conditions
Supports the treatment of bilious conditions, such as torpid liver, hepatitis, and early cirrhosis.
Particularly aids in hepatic torpor and gastric catarrh, especially in hot, damp climates, aggravated by meat-eating and alcohol consumption.
•
Digestive Issues & Mouth Symptoms
Relieves sour eructations (belching), with an empty, hungry feeling in the stomach that is not alleviated by eating.
Addresses salivation and metallic taste, especially at night, with frequent drooling.
Aids in treating small, superficial ulcers or cankers in the mouth and tongue.
•
Constipation & Bowel Concerns
Eases constipation, particularly with ineffectual urging and constricted anus.
Helps manage moist and sore anus, often associated with a feeling of constriction in the sphincter.
•
Urinary Issues
Helps in treating cloudy urine and burning sensations in the urethra.
Particularly beneficial for managing oxaluria-related urinary issues, such as painful urination.
ACIDUM NITROMURIATICUM - DL
Nitromuriatic acid",1255,
